Text,Sentiment
Layin n bed with a headacheĘ ughhhh...waitin on your call...,-1
Funeral ceremony...gloomy friday...,-1
wants to hang out with friends SOON!,1
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,-1
Hmmm. http://www.djhero.com/ is down,-1
@charviray Charlene my love. I miss you,-1
@kelcouch I'm sorryĘ at least it's Friday?,-1
Choked on her retainers,-1
Ugh! I have to beat this stupid song to get to the nextĘ rude!,-1
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks lateĘ i just watch itonlinelol,-1
So sleepy again and it's not even that late. I fail once again.,-1
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,-1
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,-1
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,-1
"@IsaacMascoteĘ i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",-1
Damm servers still downĘ i need to hit 80 before all the koxpers pass me,-1
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....Ę time to sleep!!!!!!!!!!!,-1
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,-1
It is so annoying when she starts typing on her computer in the middle of the night!,-1
@cynthia_123 i cant sleep,-1
I missed the bl***y bus!!!!!!!!,-1
@ether_radio yeah :S i feel all funny cause i haven't slept enoughĘ i woke my mum up cause i was singing she's not impressed :S you?,-1
mmm much better day... so far! it's still quite early. last day of #uds,1
@DavidArchie &lt;3 your gonna be the firstĘ twitter ;) cause your amazing lol. come to canadaĘ would do anything to see you perform,1
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,-1
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",-1
"@onscrn Ahh.Ę ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",1
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,-1
Chocolate milk is so much better through a straw. I lack said straw,1
why am i so tired?,-1
@benballerĘ no way! damn that sucks B!Ę are you ok?,-1
sucks not being able to take days off of work or have the money to take the tripĘ so sad,-1
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",1
@itsgabbith at once haha.Ę poor aby still gets sore!,-1
I want to buy this great album but unfortunately i dont hav enuff fundsĘ its &quot;long time noisy&quot;,-1
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,-1
@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,-1
...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',-1
Brothers Bloom won't be opening this weekend in El Paso.Ę I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,1
says I miss plurking.Ę http://plurk.com/p/wxion,-1
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",-1
is sad that shin ae got married...and it wasn't to alex,-1
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.Ę Muy triste.",-1
dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,-1
@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,-1
@lepetitagneau what's going on sweetheart?,1
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",-1
"Last one month due to summer, strawberry is not availble in the Chennai markets!",-1
@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.Ę All better now! Hahaha,1
feels sad coz i wasnt able to play with the guys!!!Ę http://plurk.com/p/wxiux,-1
@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,-1
First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data packĘ ),-1
@mrgenius23 You win ... SIGH Rakeem,1
@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,-1
ahh! big scary bug flying around my room!!!!!,-1
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",1
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,-1
@justamedicineĘ That was stone cold Ę Crazy....Ę ?,-1
i'm so tired,-1
@thecreativeone I second that. I wish it rained more where I am,1
I'm feel deflated. Ugh. No more dog.,-1
Allergies suck ducks nuts. Ę Ę &lt;=====8@8=====&gt;,-1
Well it almost was a good day... Guess I just retry tomorrow,1
@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offlineĘ Time to ask for a refund...,1
@britblackbirdĘ youstinkatrespondingtotexts!,-1
Is miserableĘ i feel like im gona cryĘ sux!,-1
@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. BlehĘ Gonna be a long nite methinks.,-1
$#@! My nose stud fell out and I can't find itĘ Looks like I'll have to head into Amsterdam today and get a new one,-1
"claire @breakfastnt love the show, got into the office @ 5am and no radio",1
*sigh* I'm going to bed... I just don't feel right anymore...,-1
Now I am depressed after watching so you think you can dance,-1
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",-1
"I cant sleep, but im too sore to move",-1
@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,-1
@softtouchme just answered you- never learned how to write in French- just basic stuff-,-1
RIP leonardo. You were a great mini fiddler crab,1
"Last day working for the Uni today, sad times",-1
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",1
My head hurts so bad I could scream!,-1
New work wellness challenge not going well.Ę I committed to not check email between 10 pm and 6 am.Ę Failed on first day.Ę Twice,-1
New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too carelessĘ ...) .. Meanw ...,-1
don't you hate it when you finish all your work and there's still 1.25 hours left of work time,-1
is still missing her husband.Ę Ę I really want him home.,-1
I miss my puppy,-1
@IdleThumbs Up is out?Ę I didn't get the memo Ę It looks amazing.,1
@nzdeany I've given up on pizza - kids would never let me have my favĘ (the hot ones),-1
@BarbSchaefer yearling in pet home died... very sad for their whole family,-1
is feeling sad... for some reason..Ę http://plurk.com/p/wxji3,-1
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,-1
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",-1
Have a headacheĘ I'm going to bed. Goodnight!,-1
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",1
Took a shift tomorrow.Ę Ę I don't really feel like working right now.,-1
but now i have no money for a phone,-1
@TheLastDoctor 9 daysĘ I'm about ready to visit Torchwood and see if they've heard anything,1
